Unnamed: 0,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Converted
6720,3c225062-8d66-4871-832d-bd7d4561b87a,598251.0,Landing Page Submission,Google,No,No,7.0,202.0,7.0,Page Visited on Website,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),,No,No,Select,Thane & Outskirts,,,,,No,No,Modified,0.0
3267,45562e1f-97d3-4bda-8d7f-1a8f401cd4f2,628675.0,Lead Add Form,Welingak Website,No,No,0.0,0.0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,1.0
2780,6a812395-bcf0-4763-aa03-171041b24eaf,632948.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified,0.0
4159,e7d25592-f616-46ee-9832-4a06350ac40a,620113.0,Landing Page Submission,Direct Traffic,No,No,4.0,162.0,4.0,Olark Chat Conversation,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Select,Other Cities of Maharashtra,,,,,No,Yes,Olark Chat Conversation,0.0
3333,efb76154-fbe1-46c2-b75d-69d0b0fa4ff5,628158.0,API,Google,No,No,1.0,243.0,1.0,Converted to Lead,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified,0.0
587,6be73d7d-525d-11e6-96be-22000aa8e760,654175.0,Lead Import,Facebook,No,No,,11.0,,,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,02.Medium,02.Medium,13.0,15.0,No,No,Modified,0.0
1496,88f96e3a-3885-450e-86e3-015ccb7ae528,644414.0,Landing Page Submission,Direct Traffic,No,No,5.0,387.0,5.0,Email Opened,India,Finance Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities,02.Medium,02.Medium,13.0,16.0,No,Yes,Email Opened,0.0
1431,19fa7417-7a60-4d5f-95a5-5fa4905dd3e6,645140.0,API,Google,No,No,4.0,12.0,1.33,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Page Visited on Website,0.0
6347,0166d3f9-b6e1-49f3-801a-cddcd3a09e90,601193.0,API,Organic Search,No,No,2.0,933.0,2.0,Converted to Lead,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,,,,,No,No,Modified,1.0
3213,ccc918d7-82dc-4ff1-9abe-def3fff3f0f7,629342.0,Landing Page Submission,Organic Search,No,No,3.0,300.0,3.0,SMS Sent,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Modified,0.0
6174,51c534e0-8913-468b-9214-6487a55e1fae,602419.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,Select,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Select,,,,,No,No,Modified,0.0
9181,5c0838f4-987c-4b0b-8468-9ad0ebf647b1,580027.0,Landing Page Submission,Organic Search,No,No,5.0,107.0,2.5,SMS Sent,India,IT Projects Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Other Metro Cities,02.Medium,02.Medium,14.0,15.0,No,Yes,SMS Sent,0.0
625,a94092fd-f8e5-41ba-81b8-207591ebe457,653992.0,API,Olark Chat,Yes,No,0.0,0.0,0.0,Email Bounced,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,15.0,15.0,No,No,Modified,0.0
8173,a7a2087c-4f31-4b71-ba62-f117894334d8,587418.0,Landing Page Submission,Google,Yes,No,4.0,1269.0,2.0,Email Bounced,India,Business Administration,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Modified,1.0
7377,d22f1b98-0ee5-48ab-ad37-7e3e34222a5b,592855.0,Landing Page Submission,Direct Traffic,No,No,8.0,139.0,8.0,Email Opened,India,,,,,Yes,No,No,No,No,No,No,No,,,No,No,,,02.Medium,01.High,14.0,17.0,No,No,Email Opened,0.0
8526,21fc5924-e4d6-4b98-abf0-0832c49697cd,584607.0,Landing Page Submission,Direct Traffic,No,No,7.0,86.0,1.75,Page Visited on Website,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Page Visited on Website,0.0
7367,347ff803-0eaf-40d0-a3b3-fec483fe770b,592928.0,API,Google,No,No,2.0,69.0,2.0,Olark Chat Conversation,India,Select,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Olark Chat Conversation,0.0
6753,82c74c17-1da4-4877-9375-174e7b753897,598037.0,API,Olark Chat,No,No,0.0,0.0,0.0,Email Opened,,Select,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Select,,,,,No,No,Email Opened,0.0
6410,b3d45fb0-c238-44bb-a936-e42146e908f9,600788.0,Landing Page Submission,Google,No,No,3.0,515.0,3.0,SMS Sent,India,Media and Advertising,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Mumbai,,,,,No,No,SMS Sent,0.0
2063,b7c97d7a-10e4-45fa-ba15-58e2b610b2b8,639704.0,Landing Page Submission,Google,No,No,4.0,329.0,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,01.High,13.0,19.0,No,No,Email Opened,0.0
8552,3737e178-7b39-40d6-8e10-bc866c3da99d,584456.0,Landing Page Submission,Direct Traffic,No,No,9.0,1256.0,9.0,SMS Sent,India,Supply Chain Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Modified,1.0
4718,c3419a44-4668-484d-ada5-f4e6e76ce73e,614570.0,Landing Page Submission,Direct Traffic,No,No,4.0,154.0,4.0,Page Visited on Website,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Other Leads,Thane & Outskirts,,,,,No,No,Page Visited on Website,0.0
4925,bb3b2d13-d320-41a4-9cd1-5b45720c4b92,612740.0,Landing Page Submission,Google,No,No,4.0,827.0,4.0,Page Visited on Website,India,Finance Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,,,,,No,No,Modified,1.0
6336,e8b90866-ade9-41d3-a6df-f6e7d75fde62,601282.0,Landing Page Submission,Direct Traffic,No,No,5.0,1145.0,5.0,Email Opened,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Other Cities,02.Medium,02.Medium,14.0,16.0,No,No,Modified,0.0
4421,00c517fa-82ef-49f6-b68d-b925de3a5423,617346.0,API,Olark Chat,No,No,0.0,0.0,0.0,SMS Sent,,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,,,,,No,No,SMS Sent,1.0
8943,112b1f51-3cad-4acc-9a4b-5f1c952129df,581789.0,Landing Page Submission,Direct Traffic,No,No,2.0,1237.0,2.0,SMS Sent,India,IT Projects Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,17.0,No,Yes,SMS Sent,1.0
9049,bd801a3f-359a-4533-ab22-bd2acb85fd88,581016.0,Landing Page Submission,Organic Search,No,No,3.0,1230.0,3.0,Email Link Clicked,Australia,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,Yes,Modified,1.0
5237,6050a450-1d19-496d-8199-47a9813a558e,609589.0,Landing Page Submission,Organic Search,Yes,No,3.0,1801.0,3.0,Email Bounced,India,Marketing Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Tier II Cities,,,,,No,Yes,Modified,0.0
1268,e3c30723-ec14-4290-8c54-a1031d4154de,646462.0,API,Google,No,No,5.0,636.0,2.5,Olark Chat Conversation,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Modified,0.0
6265,f2472779-886e-4ca4-ba20-5282fbb525de,601768.0,API,Organic Search,No,No,6.0,1717.0,3.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Select,Select,,,,,No,No,Modified,1.0
4869,6b2f14c0-43b1-43b0-a771-2d54d4d16347,613343.0,Landing Page Submission,Direct Traffic,No,No,2.0,1321.0,2.0,Email Opened,India,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,,,,,No,Yes,Email Opened,1.0
1103,281ff4ad-d7a7-4abf-ba7e-29e5c63cea4d,648231.0,Landing Page Submission,Google,No,No,5.0,1417.0,5.0,SMS Sent,India,Select,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Thane & Outskirts,02.Medium,01.High,14.0,17.0,No,No,SMS Sent,1.0
2485,f3c3987b-99c1-4f01-aca2-20290be6c719,635825.0,Landing Page Submission,Google,No,No,5.0,1113.0,5.0,Email Opened,India,International Business,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,Select,Other Cities of Maharashtra,02.Medium,01.High,14.0,17.0,No,No,Email Opened,1.0
8685,dc8cd8de-beb7-4bf5-8eaf-20c7c8596a3c,583529.0,API,Google,No,No,2.0,432.0,1.0,Olark Chat Conversation,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,03.Low,02.Medium,11.0,15.0,No,No,Modified,0.0
5823,a8fee89b-ec8b-460e-9029-2c71c20d4da6,605214.0,API,Olark Chat,No,No,2.0,31.0,2.0,Page Visited on Website,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Page Visited on Website,0.0
8391,844d7d83-56a7-4386-a44b-e8cf302dee11,585790.0,Landing Page Submission,Direct Traffic,No,No,3.0,82.0,3.0,SMS Sent,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,Yes,SMS Sent,1.0
8417,05a45826-48bc-4ecd-8643-4e8e281b87f8,585600.0,API,Olark Chat,No,No,0.0,0.0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Olark Chat Conversation,0.0
2260,a502cddd-42ee-47a3-8851-682433ebec56,637847.0,Landing Page Submission,Organic Search,No,No,7.0,136.0,7.0,SMS Sent,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Other Cities,02.Medium,02.Medium,13.0,14.0,No,No,Modified,0.0
7055,f7b01df1-3c86-4a3f-a634-e768a41b6728,595564.0,Landing Page Submission,Direct Traffic,No,No,3.0,69.0,3.0,SMS Sent,India,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent,1.0
213,e12e2510-7203-411d-b3c5-9f5aaf9ffd73,658243.0,Lead Add Form,Reference,No,No,0.0,0.0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,01.High,14.0,17.0,No,No,Email Opened,1.0
580,803f9e6f-b336-45f8-ba9b-6566e455af24,654275.0,Landing Page Submission,Google,No,No,6.0,1092.0,3.0,Page Visited on Website,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Page Visited on Website,1.0
841,6a3f82ae-67e0-4208-9959-d667af6b605b,651611.0,Lead Add Form,Reference,No,No,0.0,0.0,0.0,Email Opened,,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Other Cities,02.Medium,01.High,15.0,18.0,No,No,Modified,1.0
3709,692ba0a7-a7f5-4619-9dce-3ab58ee1326b,624546.0,Landing Page Submission,Direct Traffic,No,No,3.0,59.0,3.0,Email Opened,India,Media and Advertising,Student of SomeSchool,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,No,Modified,0.0
5721,563ce1f9-eebc-43e6-961e-599ed2a0a001,606053.0,Landing Page Submission,Direct Traffic,No,No,4.0,1086.0,4.0,SMS Sent,India,IT Projects Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Other Metro Cities,,,,,No,Yes,SMS Sent,0.0
2174,04405beb-af8e-46eb-81a4-10cf147c3cb5,638934.0,Landing Page Submission,Direct Traffic,No,No,5.0,1757.0,2.5,SMS Sent,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Modified,0.0
4102,c9ec0a6b-bb0b-415e-84d1-269682dcf5dc,620624.0,API,Google,No,No,3.0,63.0,3.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Select,Select,,,,,No,No,Email Opened,0.0
7691,a933d300-df97-435b-9d51-35ba0738b623,590817.0,Lead Add Form,Reference,No,No,,1427.0,,,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Select,02.Medium,01.High,14.0,17.0,No,No,Modified,1.0
8684,15c1191e-09a1-49b3-b3e5-d9207e7502fc,583534.0,API,Google,No,No,23.0,1341.0,2.09,SMS Sent,India,,,,,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Modified,1.0
1800,28157e7a-156d-4f46-8863-80d5d675cfe0,641959.0,Landing Page Submission,Google,No,No,6.0,76.0,3.0,Email Opened,India,Operations Management,Other,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,01.High,15.0,19.0,No,No,Email Opened,1.0
2000,b00bb4a1-22f0-4d3c-a10b-1cf90738b4b5,640308.0,API,Olark Chat,Yes,No,0.0,0.0,0.0,Email Bounced,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Email Bounced,0.0
8967,d7b67b67-4471-4852-a459-be817371c860,581606.0,Landing Page Submission,Direct Traffic,No,No,2.0,784.0,2.0,SMS Sent,Australia,Supply Chain Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities,02.Medium,02.Medium,14.0,16.0,No,Yes,Modified,0.0
1781,bea76eeb-0d4c-4ae2-ae68-83cb5516910e,642090.0,API,Google,No,No,3.0,505.0,1.5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened,0.0
3461,a6b5f478-a5ee-45b0-a3c1-65623af47840,627210.0,Landing Page Submission,Organic Search,No,No,6.0,1172.0,6.0,SMS Sent,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent,1.0
1095,9158228d-48a7-4381-9cac-9d0721c43aac,648314.0,Landing Page Submission,Google,No,No,2.0,539.0,2.0,Unreachable,India,International Business,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Modified,0.0
6106,d3639bdb-19b1-432c-b05a-425cf345f91b,602920.0,Landing Page Submission,Direct Traffic,No,No,3.0,33.0,1.5,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Mumbai,,,,,No,Yes,Email Opened,0.0
2013,2fb300e6-b60e-444b-9f1d-cc64171d7dad,640177.0,Lead Add Form,Reference,No,No,0.0,0.0,0.0,Email Opened,,Supply Chain Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Lateral Student,Thane & Outskirts,02.Medium,01.High,15.0,19.0,No,No,Modified,1.0
6859,b0e2ac2d-a64d-4b06-bb0c-5624cf5c3526,597120.0,API,Google,No,No,3.0,167.0,1.5,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened,1.0
3896,2b69cf8b-1e5b-40d8-a084-d80eb0badec7,622643.0,Landing Page Submission,Google,No,No,1.0,1403.0,1.0,Converted to Lead,India,Marketing Management,Online Search,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,No,Modified,0.0
6986,a16f8e96-2ebc-4fda-86fc-a3112619ffe3,596002.0,API,Olark Chat,No,No,0.0,0.0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,High in Relevance,No,No,Select,Mumbai,01.High,02.Medium,16.0,16.0,No,No,SMS Sent,1.0
1528,75b60756-f117-40d3-8d24-fff8a4cffbce,644130.0,Landing Page Submission,Google,No,No,4.0,1017.0,4.0,SMS Sent,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,No,SMS Sent,1.0
6532,a5991e9a-d2e0-4a5e-ad78-449952f91dcd,599666.0,API,Organic Search,No,No,4.0,1281.0,4.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,1.0
5736,a7ecac56-a49d-4fe9-a13d-de7e9d8ba8a7,605805.0,Landing Page Submission,Direct Traffic,No,No,13.0,936.0,3.25,Page Visited on Website,India,Finance Management,Online Search,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,No,Page Visited on Website,0.0
6320,1c73fe19-73e4-4b99-af0c-2656be2a6cc9,601396.0,API,Google,No,No,2.0,138.0,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,,No,No,Select,Select,,,,,No,No,Email Opened,0.0
4726,3b988ade-2c5c-485c-9811-b9230885d832,614535.0,Landing Page Submission,Google,No,No,4.0,1708.0,4.0,Email Opened,India,Business Administration,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Thane & Outskirts,,,,,No,No,Email Opened,0.0
6770,c36cf66e-4b61-4671-b41f-9c7d0fb32b4b,597917.0,API,Google,No,No,5.0,1037.0,5.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,Email Opened,0.0
6335,53085412-163b-41f2-88c4-4115183bf453,601302.0,Landing Page Submission,Direct Traffic,No,No,10.0,1634.0,5.0,Olark Chat Conversation,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Modified,0.0
2809,8a96719e-abfd-4d54-9445-4bf7e2cdc636,632786.0,Landing Page Submission,Google,No,No,3.0,1357.0,3.0,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,,,,,No,No,Email Opened,1.0
663,f45f8039-d948-4004-9e1b-c56efbab9747,653687.0,Landing Page Submission,Google,No,No,21.0,1885.0,3.5,Email Opened,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,01.High,01.High,16.0,20.0,No,Yes,Email Opened,1.0
2745,6eb75d96-2dcc-4d24-8496-f5853c06575a,633316.0,Landing Page Submission,Direct Traffic,No,No,3.0,54.0,3.0,SMS Sent,India,E-Business,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Not Sure,No,No,Select,Mumbai,,,,,No,Yes,Modified,0.0
4716,ae211bc8-d2de-4c9a-8365-bc3f4741b0e8,614586.0,Landing Page Submission,Organic Search,Yes,No,3.0,225.0,3.0,SMS Sent,India,Finance Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,Yes,Modified,0.0
6513,da39698f-711d-4990-bb18-ef7bf498c5a1,599932.0,Landing Page Submission,Google,No,No,5.0,967.0,2.5,Email Opened,India,IT Projects Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Select,Thane & Outskirts,02.Medium,02.Medium,15.0,14.0,No,No,Email Opened,1.0
6386,ea3fca0d-4ebb-49f5-8619-1ca84aaa3fbd,600944.0,API,Olark Chat,No,No,0.0,0.0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,1.0
8123,82797615-ccf0-4007-864e-1b37d18b70c2,587808.0,API,Direct Traffic,No,No,4.0,1761.0,4.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,01.High,02.Medium,16.0,15.0,No,No,SMS Sent,1.0
8698,748303d9-d4b6-454e-9e1e-eee96bfe1e18,583471.0,Landing Page Submission,Google,No,No,1.0,456.0,1.0,Converted to Lead,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Modified,0.0
